"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","327","test_delete_user","tests.api","Sun Apr 20 15:03:21 GMT 2025","passed","Sun Apr 20 15:03:21 GMT 2025","","test_users","",""
"","330","test_update_user_values","tests.api","Sun Apr 20 15:03:20 GMT 2025","passed","Sun Apr 20 15:03:21 GMT 2025","","test_users","",""
"","2849","test_success_login[firefox-visual_user]","tests.ui","Sun Apr 20 15:03:48 GMT 2025","passed","Sun Apr 20 15:03:50 GMT 2025","","test_login","",""
"","55","test_get_resource_list","tests.api","Sun Apr 20 15:03:19 GMT 2025","passed","Sun Apr 20 15:03:19 GMT 2025","","test_resource","",""
"","2845","test_success_login[firefox-error_user]","tests.ui","Sun Apr 20 15:03:44 GMT 2025","passed","Sun Apr 20 15:03:47 GMT 2025","","test_login","",""
"","43","test_get_single_resource","tests.api","Sun Apr 20 15:03:19 GMT 2025","passed","Sun Apr 20 15:03:19 GMT 2025","","test_resource","",""
"","2846","test_success_login[firefox-standard_user]","tests.ui","Sun Apr 20 15:03:33 GMT 2025","passed","Sun Apr 20 15:03:36 GMT 2025","","test_login","",""
"","328","test_successful_register","tests.api","Sun Apr 20 15:03:19 GMT 2025","passed","Sun Apr 20 15:03:19 GMT 2025","","test_register","",""
"","7862","test_success_login[firefox-performance_glitch_user]","tests.ui","Sun Apr 20 15:03:36 GMT 2025","passed","Sun Apr 20 15:03:44 GMT 2025","","test_login","",""
"","326","test_create_user","tests.api","Sun Apr 20 15:03:20 GMT 2025","passed","Sun Apr 20 15:03:20 GMT 2025","","test_users","",""
"","338","test_unsuccessful_login","tests.api","Sun Apr 20 15:03:18 GMT 2025","passed","Sun Apr 20 15:03:19 GMT 2025","","test_login","",""
"","332","test_user_not_found","tests.api","Sun Apr 20 15:03:20 GMT 2025","passed","Sun Apr 20 15:03:20 GMT 2025","","test_users","",""
"","3394","test_fail_order_proces[firefox]","tests.ui","Sun Apr 20 15:03:30 GMT 2025","passed","Sun Apr 20 15:03:33 GMT 2025","","test_e2e","",""
"","393","test_login_without_user_and_pass_display_error[firefox]","tests.ui","Sun Apr 20 15:03:57 GMT 2025","passed","Sun Apr 20 15:03:58 GMT 2025","","test_login","",""
"","332","test_get_non_existent_resource","tests.api","Sun Apr 20 15:03:19 GMT 2025","passed","Sun Apr 20 15:03:20 GMT 2025","","test_resource","",""
"","49","test_get_users","tests.api","Sun Apr 20 15:03:20 GMT 2025","passed","Sun Apr 20 15:03:20 GMT 2025","","test_users","",""
"","326","test_unsuccessful_register","tests.api","Sun Apr 20 15:03:19 GMT 2025","passed","Sun Apr 20 15:03:19 GMT 2025","","test_register","",""
"","2869","test_login_with_incorrect_user_display_error[firefox]","tests.ui","Sun Apr 20 15:03:54 GMT 2025","passed","Sun Apr 20 15:03:57 GMT 2025","","test_login","",""
"","363","test_login_without_password_display_error[firefox]","tests.ui","Sun Apr 20 15:03:51 GMT 2025","passed","Sun Apr 20 15:03:51 GMT 2025","","test_login","",""
"","3803","test_successfully_order_process[firefox]","tests.ui","Sun Apr 20 15:03:26 GMT 2025","passed","Sun Apr 20 15:03:29 GMT 2025","","test_e2e","",""
"","3326","test_get_users_with_delay","tests.api","Sun Apr 20 15:03:21 GMT 2025","passed","Sun Apr 20 15:03:24 GMT 2025","","test_users","",""
"","1206","test_successful_login","tests.api","Sun Apr 20 15:03:17 GMT 2025","passed","Sun Apr 20 15:03:18 GMT 2025","","test_login","",""
"","2825","test_login_with_locked_out_user_display_error[firefox]","tests.ui","Sun Apr 20 15:03:51 GMT 2025","passed","Sun Apr 20 15:03:54 GMT 2025","","test_login","",""
