"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2777","test_login_with_locked_out_user_display_error[firefox]","tests.ui","Sun Apr 20 14:54:26 GMT 2025","passed","Sun Apr 20 14:54:28 GMT 2025","","test_login","",""
"","193","test_delete_user","tests.api","Sun Apr 20 14:53:55 GMT 2025","passed","Sun Apr 20 14:53:55 GMT 2025","","test_users","",""
"","190","test_unsuccessful_register","tests.api","Sun Apr 20 14:53:54 GMT 2025","passed","Sun Apr 20 14:53:54 GMT 2025","","test_register","",""
"","2807","test_success_login[firefox-standard_user]","tests.ui","Sun Apr 20 14:54:08 GMT 2025","passed","Sun Apr 20 14:54:11 GMT 2025","","test_login","",""
"","3357","test_fail_order_proces[firefox]","tests.ui","Sun Apr 20 14:54:04 GMT 2025","passed","Sun Apr 20 14:54:08 GMT 2025","","test_e2e","",""
"","350","test_login_without_user_and_pass_display_error[firefox]","tests.ui","Sun Apr 20 14:54:32 GMT 2025","passed","Sun Apr 20 14:54:32 GMT 2025","","test_login","",""
"","193","test_successful_register","tests.api","Sun Apr 20 14:53:54 GMT 2025","passed","Sun Apr 20 14:53:54 GMT 2025","","test_register","",""
"","2860","test_login_with_incorrect_user_display_error[firefox]","tests.ui","Sun Apr 20 14:54:29 GMT 2025","passed","Sun Apr 20 14:54:32 GMT 2025","","test_login","",""
"","203","test_successful_login","tests.api","Sun Apr 20 14:53:53 GMT 2025","passed","Sun Apr 20 14:53:53 GMT 2025","","test_login","",""
"","3525","test_successfully_order_process[firefox]","tests.ui","Sun Apr 20 14:54:00 GMT 2025","broken","Sun Apr 20 14:54:04 GMT 2025","","test_e2e","",""
"","3185","test_get_users_with_delay","tests.api","Sun Apr 20 14:53:55 GMT 2025","passed","Sun Apr 20 14:53:58 GMT 2025","","test_users","",""
"","342","test_login_without_password_display_error[firefox]","tests.ui","Sun Apr 20 14:54:25 GMT 2025","passed","Sun Apr 20 14:54:25 GMT 2025","","test_login","",""
"","184","test_update_user_values","tests.api","Sun Apr 20 14:53:55 GMT 2025","passed","Sun Apr 20 14:53:55 GMT 2025","","test_users","",""
"","196","test_get_single_resource","tests.api","Sun Apr 20 14:53:54 GMT 2025","passed","Sun Apr 20 14:53:54 GMT 2025","","test_resource","",""
"","35","test_get_users","tests.api","Sun Apr 20 14:53:54 GMT 2025","passed","Sun Apr 20 14:53:55 GMT 2025","","test_users","",""
"","195","test_unsuccessful_login","tests.api","Sun Apr 20 14:53:53 GMT 2025","passed","Sun Apr 20 14:53:54 GMT 2025","","test_login","",""
"","2815","test_success_login[firefox-error_user]","tests.ui","Sun Apr 20 14:54:19 GMT 2025","passed","Sun Apr 20 14:54:22 GMT 2025","","test_login","",""
"","2815","test_success_login[firefox-visual_user]","tests.ui","Sun Apr 20 14:54:22 GMT 2025","passed","Sun Apr 20 14:54:25 GMT 2025","","test_login","",""
"","202","test_get_non_existent_resource","tests.api","Sun Apr 20 14:53:54 GMT 2025","passed","Sun Apr 20 14:53:54 GMT 2025","","test_resource","",""
"","198","test_user_not_found","tests.api","Sun Apr 20 14:53:55 GMT 2025","passed","Sun Apr 20 14:53:55 GMT 2025","","test_users","",""
"","23","test_get_resource_list","tests.api","Sun Apr 20 14:53:54 GMT 2025","passed","Sun Apr 20 14:53:54 GMT 2025","","test_resource","",""
"","188","test_create_user","tests.api","Sun Apr 20 14:53:55 GMT 2025","passed","Sun Apr 20 14:53:55 GMT 2025","","test_users","",""
"","7833","test_success_login[firefox-performance_glitch_user]","tests.ui","Sun Apr 20 14:54:11 GMT 2025","passed","Sun Apr 20 14:54:19 GMT 2025","","test_login","",""
